platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,esl_csgo,ESL_CSGO,31239503,4292848,185971,27475,9375,21565,11206581,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-300x300.jpeg,,en,partner,Organization
twitch,xqc,xQc,71092938,3995899,135158,64106,3740,15028,10361418,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male
twitch,trymacs,Trymacs,64342766,3430674,79032,28590,7200,37057,12287893,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male
twitch,gaules,Gaules,181077473,3056759,85669,18341,10000,6659,4574863,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-300x300.png,BR,pt,partner,Male
twitch,kaicenat,KaiCenat,641972806,3007049,102335,49230,3665,82896,6966873,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male
twitch,eliasn97,eliasn97,238813810,2945764,100103,61585,2870,31435,3746,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male
twitch,auronplay,auronplay,459331509,2926012,222507,98908,1775,50763,11058516,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-300x300.png,ES,es,partner,Male
twitch,hasanabi,HasanAbi,207813352,1980765,77847,37910,3135,19102,5134850,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male
twitch,elspreen,ElSpreen,157658336,1859413,140125,64489,1730,74494,6850141,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-300x300.jpeg,AR,es,partner,Male
twitch,montanablack88,MontanaBlack88,45044816,1690035,56401,31298,3240,26161,5711999,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-300x300.png,DE,de,partner,Male
twitch,paulinholokobr,PaulinhoLOKObr,531177917,1669927,120294,66355,1510,48545,3256259,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male
